_needs_review,_review_reason,Incident ORI,Incident Number,Incident Date And Time,Incident Type,Incident Address,Incident Address Latitude,Incident Address Longitude
,,PA0350400,1989-00036205,05/01/2023 14:52:00,Missing Person,100 S WASHINGTON AVE,41.406332227,-75.665552783
,,PA0350400,1992-00018025,04/27/2023 13:08:00,Missing Person,100 S WASHINGTON AVE,41.406332227,-75.665552783
,,PA0350400,1993-00008053,04/27/2023 13:15:00,Missing Person,100 S WASHINGTON AVE,41.406332227,-75.665552783
,,PA0350400,1993-00042734,04/27/2023 13:14:00,Missing Person,100 S WASHINGTON AVE,41.406332227,-75.665552783
,,PA0350400,2023-00009996,04/01/2023 00:19:14,Traffic Stop,300 MERIDIAN AVE,41.407697369,-75.678474216
,,PA0350400,2023-00009997,04/01/2023 00:59:34,ALS Incdient,520 RIVER ST,41.4003863520424,-75.6624919963528
,,PA0350400,2023-00009998,04/01/2023 01:25:50,Structure Fire,1043 PRESCOTT AVE,41.4114816169492,-75.6410248716081
,,PA0350400,2023-00009999,04/01/2023 01:45:48,Other unspecified incident,414 N WEBSTER AVE,41.40549292,-75.65274606
,,PA0350400,2023-00010000,04/01/2023 01:55:46,Domestic,1428 SANDERSON AVE,41.4266381511185,-75.6536151537636
,,PA0350400,2023-00010001,04/01/2023 01:57:18,Disorderly Conduct,119 JEFFERSON AVE,41.405886559,-75.661866435
,,PA0350400,2023-00010002,04/01/2023 02:19:14,Investigation of Situation,119 JEFFERSON AVE,41.405886559,-75.661866435
,,PA0350400,2023-00010003,04/01/2023 02:20:50,Intrusion Alarm,63 MIKE MUNCHAK WAY,41.418366958,-75.668264592
,,PA0350400,2023-00010004,04/01/2023 02:28:42,Traffic Stop,900 S WASHINGTON AVE,41.399728055,-75.672931611
,,PA0350400,2023-00010005,04/01/2023 02:45:02,Drugs,1102 CEDAR AVE,41.395829286,-75.671180462
,,PA0350400,2023-00010006,04/01/2023 02:52:02,Harassment,1044 PEAR ST,41.3852932526629,-75.6683163749861
,,PA0350400,2023-00010007,04/01/2023 02:57:04,Nuisance Complaint,1925 CEDAR AVE,41.3889593384747,-75.6794871154472
,,PA0350400,2023-00010008,04/01/2023 04:02:59,Missing Person,938 MOOSIC ST,41.398195636166,-75.6522109108018
,,PA0350400,2023-00010009,04/01/2023 05:46:58,Intrusion Alarm,301 GENET ST,41.390542963,-75.678567835
,,PA0350400,2023-00010010,04/01/2023 06:07:26,Shooting,1341 STAFFORD AVE,41.386841908,-75.663433537
,,PA0350400,2023-00010011,04/01/2023 06:06:11,Investigation of Situation,2015 BOULEVARD AVE,41.4339761848766,-75.6458172240339
,,PA0350400,2023-00010012,04/01/2023 06:09:22,Missing Person,938 MOOSIC ST,41.398195636166,-75.6522109108018
,,PA0350400,2023-00010013,04/01/2023 06:20:26,Assist Motorist,,41.4316387171561,-75.6702419536271
,,PA0350400,2023-00010014,04/01/2023 07:03:01,Intrusion Alarm,188 WILBUR ST,41.44622222287,-75.6475109836439
,,PA0350400,2023-00010015,04/01/2023 07:02:07,Parking Complaint,991 ALBRIGHT AVE,41.423465679746,-75.6634815321889
,,PA0350400,2023-00010016,04/01/2023 07:34:42,Intrusion Alarm,1024 COOPER ST,41.4263064974811,-75.666147039209
,,PA0350400,2023-00010017,04/01/2023 07:35:11,Automatic Fire Alarm,500 DAVIS ST,41.37834243,-75.693970633
,,PA0350400,2023-00010018,04/01/2023 07:51:13,Intrusion Alarm,2605 BRIGGS ST,41.4247798422748,-75.6968715873636
,,PA0350400,2023-00010019,04/01/2023 07:52:07,Theft,600 SANDERS ST,41.381729983,-75.684173765
,,PA0350400,2023-00010020,04/01/2023 08:26:27,Welfare Check,3200 KEARNEY CT,41.3770398931452,-75.6936095519532
,,PA0350400,2023-00010021,04/01/2023 09:08:14,Tresspassing,30 LACKAWANNA AVE,41.410322401,-75.670786573
