_needs_review,_review_reason,Case ORI,Case Number,Case Reported Date And Time,Case Occurred Incident Type,Case Address,Case Address Zip,Case Address Latitude,Case Address Longitude
,,PA0350400,2010-90156461,06/14/2022 00:00:00,Missing Person,428 COLFAX AVE,18510,41.401432783,-75.645952469
,,PA0350400,2012-90194689,04/04/2022 09:00:00,Theft,1210 WASHBURN ST,18504,41.4115512963409,-75.683591818611
,,PA0350400,2020-00016289,04/07/2022 09:26:00,Investigation,440 VIEWMONT MALL,18508,41.457994563,-75.657046326
,,PA0350400,2022-00000005,01/01/2022 00:09:29,Accident,722 PALM ST,18505,41.3879719551152,-75.6700072393101
,,PA0350400,2022-00000018,01/01/2022 01:44:08,Warrant Service,331 N LINCOLN AVE,18504,41.4173928295804,-75.682191450369
,,PA0350400,2022-00000024,01/01/2022 02:20:34,Harassment,331 N LINCOLN AVE,18504,41.4173928295804,-75.682191450369
,,PA0350400,2022-00000027,01/01/2022 02:45:25,Overdose,2320 DURKIN AVE,18508,41.4470047989243,-75.6568674256343
,,PA0350400,2022-00000029,01/01/2022 03:43:35,Intoxicated Person,1820 CAPOUSE AVE,18509,41.4315521988887,-75.6456283929738
,,PA0350400,2022-00000030,01/01/2022 03:49:13,Criminal Mischief,TAYLOR AVE / OLIVE ST,18510,41.4069217599629,-75.6493322351067
,,PA0350400,2022-00000031,01/01/2022 03:59:41,Domestic,1032 BRECK ST,18505,41.3840704277285,-75.6686995916422
,,PA0350400,2022-00000035,01/01/2022 04:19:05,Assault,1325 OLIVE ST,18510,41.4064845399088,-75.6485776259667
,,PA0350400,2022-00000036,01/01/2022 04:25:50,Overdose,137 W MARKET ST,18508,41.438182904,-75.657556951
,,PA0350400,2022-00000041,01/01/2022 08:07:47,Burglary,1621 N KEYSER AVE,18504,41.4421416879473,-75.6758076957552
,,PA0350400,2022-00000044,01/01/2022 08:29:43,Criminal Mischief,309 S GARFIELD AVE,18504,41.412949500564,-75.6890000416485
,,PA0350400,2022-00000054,01/01/2022 11:35:25,Drug,1822 MULBERRY ST,18510,41.400731171,-75.64595571
,,PA0350400,2022-00000055,01/01/2022 12:13:26,Threat,533 N MAIN AVE,18504,41.4172005788333,-75.6757012453983
,,PA0350400,2022-00000063,01/01/2022 15:05:45,Domestic,594 MARY ST,18508,41.4482390426127,-75.6605958598648
,,PA0350400,2022-00000064,01/01/2022 14:54:45,Death Investigation,736 N SUMNER AVE,18504,41.4219507548117,-75.6766820265862
,,PA0350400,2022-00000066,01/01/2022 16:04:08,Drug,W LINDEN ST / N 9TH AVE,18504,41.415222460045,-75.6736397695624
,,PA0350400,2022-00000067,01/01/2022 16:03:27,Dog Complaint,449 PHELPS ST,18509,41.4170319098611,-75.6547574013751
,,PA0350400,2022-00000069,01/01/2022 16:25:14,Theft,946 MT VERNON AVE,18508,41.4250007448321,-75.6695109599184
,,PA0350400,2022-00000076,01/01/2022 17:34:58,Fraud,602 CROWN AVE,18505,41.3946923723272,-75.6581185797869
,,PA0350400,2022-00000080,01/01/2022 17:58:38,Assault,1822 MULBERRY ST,18510,41.400731171,-75.64595571
,,PA0350400,2022-00000084,01/01/2022 18:23:35,Other,614 MOOSIC ST,18505,41.4019372923099,-75.6581233675215
,,PA0350400,2022-00000097,01/01/2022 21:38:12,Investigation,PROSPECT AVE / BEECH ST,18505,41.3955860082561,-75.6661315097631
,,PA0350400,2022-00000098,01/01/2022 21:55:46,Domestic,813 HICKORY ST,18505,41.3965266301422,-75.6584939984381
,,PA0350400,2022-00000102,01/01/2022 23:46:56,Harassment,125 BEECH ST,18505,41.400446931,-75.673744642
,,PA0350400,2022-00000103,01/01/2022 23:52:43,Domestic,838 HERBERT ST,18505,41.3791993447498,-75.6784547827455
,,PA0350400,2022-00000104,01/02/2022 00:08:50,Theft,216 S HYDE PARK AVE,18504,41.4110155261052,-75.6839785304842
,,PA0350400,2022-00000106,01/01/2022 23:45:57,Harassment,922 KIRST CT,18505,41.396917943733,-75.6688109276739
,,PA0350400,2022-00000107,01/02/2022 00:24:17,Domestic,114 PUTNAM ST,18508,41.4359849438475,-75.6602693501956
,,PA0350400,2022-00000118,01/02/2022 08:12:19,Animal Complaint,1307 ORAM ST,18504,41.4224976271892,-75.6749408499188
,,PA0350400,2022-00000125,01/02/2022 10:21:28,Fraud,ADAMS AVE / VINE ST,18509,41.4106463828572,-75.6583870910528
,,PA0350400,2022-00000126,01/02/2022 11:12:25,Emotionally Disturbed Person,300 MERIDIAN AVE,18504,41.407697369,-75.678474216
,,PA0350400,2022-00000130,01/02/2022 12:29:27,Domestic,633 MOOSIC ST,18505,41.4016453764366,-75.6575498895804
,,PA0350400,2022-00000135,01/02/2022 14:14:47,Domestic,1309 FARR ST,18504,41.4250359579935,-75.6732367625964
,,PA0350400,2022-00000139,01/02/2022 15:34:52,Domestic,1822 MULBERRY ST,18510,41.400731171,-75.64595571
,,PA0350400,2022-00000140,01/02/2022 15:44:34,Child Custody Dispute,1309 FARR ST,18504,41.4250359579935,-75.6732367625964
,,PA0350400,2022-00000142,01/02/2022 15:55:53,Intoxicated Person,SCHLAGER ST / N MAIN AVE,18504,41.4199131969364,-75.6742065551413
,,PA0350400,2022-00000147,01/02/2022 17:12:29,Retail Theft,440 VIEWMONT MALL,18508,41.457994563,-75.657046326
,,PA0350400,2022-00000149,01/02/2022 17:30:08,Unauthorized Use of MV,1519 MULBERRY ST,18510,41.4027744374726,-75.6490601498415
,,PA0350400,2022-00000156,01/02/2022 18:47:31,Assault,947 BUENZLI CT,18510,41.4108670170556,-75.6440843340201
,,PA0350400,2022-00000160,01/02/2022 19:06:00,Warrant Service,321 MERIDIAN AVE,18504,41.407262093,-75.678314397
,,PA0350400,2022-00000163,01/02/2022 20:05:41,Neighbor Dispute,205 N BROMLEY AVE,18504,41.4146316404152,-75.6811241849843
,,PA0350400,2022-00000173,01/02/2022 21:58:36,Domestic,1425 SANDERSON AVE,18509,41.4264602664723,-75.6538033152211
,,PA0350400,2022-00000182,01/03/2022 00:39:49,Domestic,946 E ELM ST,18505,41.3898037715941,-75.6616098273597
,,PA0350400,2022-00000189,01/03/2022 02:24:32,CIT,1423 N WASHINGTON AVE,18509,41.4235791050911,-75.6466958416203
