_needs_review,_review_reason,Incident ORI,Incident Number,Incident Date And Time,Incident Type,Incident Address,Incident Address Latitude,Incident Address Longitude
,,PA0350400,2020-00033404,10/01/2020 00:36:12,Traffic Stop,100 S WASHINGTON AVE,41.406351179867,-75.6655079369749
,,PA0350400,2020-00033405,10/01/2020 00:53:08,Welfare Check,1423 BRYN MAWR ST,41.4048890331616,-75.6932798870354
,,PA0350400,2020-00033406,10/01/2020 01:09:18,Welfare Check,338 FRANKLIN AVE,41.411936631,-75.665633207
,,PA0350400,2020-00033407,10/01/2020 02:02:01,Traffic Stop,700 N SUMNER AVE,41.4214083498061,-75.6771468909326
,,PA0350400,2020-00033408,10/01/2020 02:52:52,Suspicious Person,LUZERNE ST / S MAIN AVE,41.4082485384578,-75.684250136444
,,PA0350400,2020-00033409,10/01/2020 05:09:10,Intrusion Alarm,329 GREEN RIDGE ST,41.431324747,-75.656252849
,,PA0350400,2020-00033410,10/01/2020 05:39:09,Criminal Mischief,915 WYOMING AVE,41.417000659,-75.656000773
,,PA0350400,2020-00033411,10/01/2020 06:56:50,Special Duty,30 LACKAWANNA AVE,41.410322401,-75.670786573
,,PA0350400,2020-00033412,10/01/2020 08:04:46,Stolen Registration Plate,100 S WASHINGTON AVE,41.406351179867,-75.6655079369749
,,PA0350400,2020-00033413,10/01/2020 08:21:38,Suspicious Person,WILLOW ST / PITTSTON AVE,41.39838012231,-75.6660320804828
,,PA0350400,2020-00033414,10/01/2020 08:21:39,Missing Person,708 DAVIS ST,41.376436921,-75.690954738
,,PA0350400,2020-00033415,10/01/2020 08:33:57,Welfare Check,1000 S WASHINGTON AVE,41.398884156,-75.673871219
,,PA0350400,2020-00033416,10/01/2020 08:51:03,Motor Vehicle Crash,416 W MARKET ST,41.441407919,-75.660314483
,,PA0350400,2020-00033417,10/01/2020 08:51:43,Motor Vehicle Crash,SUMMIT POINTE DR / RT 6,41.4601379044725,-75.6577215822126
,,PA0350400,2020-00033418,10/01/2020 09:10:58,Investigation of Situation,2031 MARGARET AVE,41.4398903245467,-75.6555033195798
,,PA0350400,2020-00033419,10/01/2020 09:26:16,BLS Priority,940 S WASHINGTON AVE,41.399453222,-75.673239496
,,PA0350400,2020-00033420,10/01/2020 09:29:38,Call by Phone,100 S WASHINGTON AVE,41.406351179867,-75.6655079369749
,,PA0350400,2020-00033421,10/01/2020 09:34:58,Intrusion Alarm,316 PENN AVE,41.410963697,-75.664708435
,,PA0350400,2020-00033422,10/01/2020 09:52:37,Assist Motorist,100 S WASHINGTON AVE,41.406351179867,-75.6655079369749
,,PA0350400,2020-00033423,10/01/2020 09:59:49,Motor Vehicle Crash,MULBERRY ST / JEFFERSON AVE,41.408768714403,-75.6586002617318
,,PA0350400,2020-00033424,10/01/2020 10:07:04,Landlord/Tennant Dispute,417 ALDER ST,41.3998780000413,-75.6660694753024
