row_number,reasons,Case Number,Address,Date & Time,Offense Description,Case Disposition,PD District
59,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00062410,2817 COMMUNITY COLLEGE 3A/V6E/2022 at 20:25,,PROPERTY FOUND REPORT,,3
322,'Case Disposition' garbled text (embedded symbol),2022-00060222,ST CLAIR AVE,3/4/2022 at 20:30,DUI-UNDER THE INFLUENCE OF*C AHLACROGHEODL A/,FNEDL/OORN YDRUGS,5
525,'Offense Description' garbled/scrambled text,2022-00058178,11907 HONEYDALE AVE,3/2/2022 at 21:48,RECOVERED VEH/PROPERTY NON-CRIME,,4
585,'Case Disposition' garbled/scrambled text,2022-00057699,867 EDDY RD,3/2/2022 at 13:06,VIOLATING PROTECTION ORDEWRA,ORRR CANOTN S- SEUNST PAEGCRTE WEMAENNTETD,5
641,'Offense Description' garbled text (embedded symbol); 'Case Disposition' fragmented text (overlap?),2022-00057131,W 91ST ST,3/1/2022 at 22:29,IMPROPERLY HANDLING FIREA*RCMHSA RING,AE DM O/ FTEOLRO VNEYHICLE,1
655,'Case Disposition' garbled/scrambled text,2022-00057048,935 E 128TH ST,3/1/2022 at 21:00,IMP DISCH FIREARM ON OR NE*ACRO,PMRPOLAHIINBAITNETD R PERFE TMOIS PERSOSECUT5OR,
675,'Offense Description' garbled/scrambled text,2022-00056811,4422 PEARL RD,3/1/2022 at 16:20,RECOVERED VEH/PROPERTY NON-CRIME,,2
678,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2022-00057370,18601 CLEVELAND PARKWAY,3 A/1V/2E022 at 16:00,THEFT - MV PARTS & GASOLINE,,1
760,'Offense Description' garbled text (embedded symbol),2022-00056033,LORAIN AVE,2/28/2022 at 21:24,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,1
785,'Case Disposition' garbled/scrambled text,2022-00055761,1600 EUCLID AVE,2/28/2022 at 15:57,VIOLATING PROTECTION ORDE*RN OO RP ACPOENRSSE,(NINTS AUGFRFEICEIMENETN TEVD),3
807,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00055610,W US 422 & SOM CENTER R2D/28/2022 at 13:25,,DAMAGE TO PROPERTY NON-CRIME,,4
825,'Address' possible overlapping text,2022-00055420,INTERSTATE 90 HWY W & EX2/I2T8,1/29062B2 E aXt T 8:15,RECEIVING STOLEN PROPERTYREFERRED TO GRAND JURY,,3
844,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00055284,PEARL RD & HENNINGER AV2E/28/2022 at 1:35,,DR UNDER THE INFLUENCE OF ALCOHOL AND OR DRUGS,,2
955,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00054564,I 77 S & OPPORTUNITY COR2R/2ID7/E2R022 at 4:00,,DUI- OPERATION,,3
958,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00054549,PUBLIC SQUARE & WEST RO2/A27D/W20A2Y2 at 3:00,,ASSAULT,,3
1024,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00053989,2250 COMMUNITY COLLEGE 2A/V2E6/2022 at 13:00,,CRISIS INTERVENTION,,3
1028,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00053927,2250 COMMUNITY COLLEGE 2A/V2E6/2022 at 12:33,,,,3
1075,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2022-00053487,11412 MOUNT OVERLOOK AV2E/25/2022 at 21:30,,AGGRAVATED MENACING,,4
