_needs_review,_review_reason,CallID,When Reported,Typ,Nature,P,Location,Cty
,,19C117720,00:01:03 12/01/19,l,Ped Check,4,1359 W SIXTH ST,COR
,,19C117721,00:01:52 12/01/19,l,Ped Check,4,1359 W SIXTH ST # B; CORONA TIRES NEW AND USED,COR
,,19C117722,00:05:46 12/01/19,l,Auto Theft Past,3,1771 N DELILAH ST;WESTRANSCO,COR
,,19C117723,00:06:31 12/01/19,f,ZZAA MedicalAid,1,7750 LIBERTY AVE ; STAGE,ELC
,,19C117726,00:27:07 12/01/19,l,Welfare Check,2,1825 BAYWOOD DR # 206,COR
,,19C117729,00:33:56 12/01/19,l,Ped Check,4,TEMESCAL CANYON RD & CAJALCO RD,COR
,,19C117730,00:36:19 12/01/19,l,Traffic Stop,4,RIVER RD & N LINCOLN AVE,COR
,,19C117731,00:37:44 12/01/19,f,Cardiac Arrest,1,7473 EL CERRITO RD,ELC
,,19C117732,00:38:31 12/01/19,l,Alarm Call,2,1920 FRONTAGE RD; MIGUELS SONORA STYLE AND CANTINA,COR
,,19C117733,00:40:13 12/01/19,f,ZZFwy UnkInjury,1,91 EB GREEN RIVER 71,RVC
,,19C117735,00:41:19 12/01/19,l,Property Check,4,479 N MCKINLEY ST; WALMART,COR
,,19C117736,00:50:36 12/01/19,l,Traffic Stop,4,N COTA ST & W RINCON ST,COR
,,19C117737,00:56:23 12/01/19,l,Property Check,4,2735 WARDLOW RD,COR
,,19C117738,00:57:42 12/01/19,l,Disturb Peace,3,545 EBBCREEK ST ; #D ; THREATS POSS,COR
,,19C117740,00:57:58 12/01/19,l,Alarm Call,2,1426 W SIXTH ST; #102 COMPUTER AND CELL PHONE REPAIR,COR
,,19C117741,01:01:33 12/01/19,l,Traffic Stop,4,N MAIN ST & RIVER RD,COR
,,19C117742,01:02:03 12/01/19,l,Ped Check,4,529 W RINCON ST; E AND J SHUTTERS AND BLINDS INC,COR
,,19C117743,01:05:05 12/01/19,l,Alarm Call,2,1685 W SIXTH ST; TOYOTA TRUCK CENTER ; VIDEO,COR
,,19C117745,01:08:19 12/01/19,l,Alarm Call,2,2278 SHANNA CARLE DR,COR
,,19C117746,01:21:24 12/01/19,l,Area Check,3,115 W KENDALL ST ;415VER,COR
,,19C117748,01:24:48 12/01/19,l,Flag Down,4,W SIXTH ST & S MERRILL ST,COR
,,19C117749,01:27:10 12/01/19,l,911 Hangup,2,881 CORSICA DR ; ABAND PH1 CELL,COR
,,19C117750,01:38:59 12/01/19,l,Loud Noise,3,1038 E FRANCIS ST ; LOUD MUSIC,COR
,,19C117751,01:40:42 12/01/19,l,Traffic Stop,4,W THIRD ST & S SHERIDAN ST,COR
,,19C117752,01:48:26 12/01/19,l,Vandalism,3,433 W EIGHTH ST # 9,COR
,,19C117753,01:48:36 12/01/19,l,Traffic Stop,4,1130 W SIXTH ST; SUPERIOR MARKET,COR
,,19C117755,01:55:14 12/01/19,l,Loud Party,3,1531 DEER RUN,COR
,,19C117756,01:58:47 12/01/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C117757,01:59:58 12/01/19,l,Suspicious Circ,3,842 BRIDGEWOOD ST,COR
,,19C117758,02:01:26 12/01/19,l,Susp Vehicle,3,4464 CABOT DR,COR
,,19C117759,02:02:29 12/01/19,l,Loud Party,3,2108 PARKSIDE DR # 276,COR
,,19C117761,02:24:08 12/01/19,l,Vehicle Check,4,2785 CABOT DR; #120; DANIELS JEWLERS,COR
,,19C117764,02:33:48 12/01/19,lf,ZZDumpster Fire,1,359 FALMOUTH CT,COR
,,19C117765,02:37:42 12/01/19,l,Battery,1,4413 DRIVING RANGE RD,COR
,,19C117768,02:45:15 12/01/19,f,ZZFwy UnkInjury,1,15 SB MAGNOLIA ONTARIO,COR
,,19C117769,02:51:58 12/01/19,lf,Accident Unknwn,1,EL SOBRANTE RD & MAGNOLIA AVE,COR
,,19C117770,02:55:09 12/01/19,f,ZZSick,1,813 DERBY ST,COR
,,19C117772,02:59:03 12/01/19,l,Petty Theft,3,703 E SIXTH ST; R S SERVICE STATION INC,COR
,,19C117773,02:59:32 12/01/19,l,Special Detail,4,RPDC,
,,19C117776,03:17:11 12/01/19,l,Area Check,3,309 S MAIN ST; CHEVRON GAS,COR
,,19C117778,03:52:06 12/01/19,lf,Accident Inj,1,EAGLE GLEN PKWY & MASTERS DR,COR
,,19C117780,04:31:55 12/01/19,l,Under Influence,2,725 E GRAND BLVD; 7 11 STORE EAST,COR
,,19C117782,04:56:29 12/01/19,l,Shots Heard,3,815 S MERRILL ST,COR
,,19C117784,05:08:03 12/01/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C117785,05:12:27 12/01/19,l,Loud Noise,3,1015 MONTECITO DR;CAR ALARM,COR
,,19C117788,05:28:33 12/01/19,l,911 Hangup,2,209 E BLAINE ST,COR
,,19C117789,05:31:47 12/01/19,l,Alarm Call,2,3085 JUNIPER DR; PANIC; GAIKWAD RESD,COR
,,19C117790,05:33:42 12/01/19,l,911 Hangup,2,784 N MAIN ST; PS2 6METERS,COR
,,19C117791,05:52:38 12/01/19,l,Alarm Call,2,4243 SHOALCREEK DR,COR
,,19C117792,06:17:09 12/01/19,f,ZZBreathing,1,3267 STAR CANYON CIR,COR
,,19C117793,06:19:36 12/01/19,l,Alarm Call,2,1034 W SIXTH ST ; #102,COR
,,19C117794,06:28:10 12/01/19,l,Area Check,3,4350 GREEN RIVER RD; 76 GAS,COR
,,19C117795,07:25:16 12/01/19,l,Traffic Stop,4,91 EB BUCHANAN PIERCE RS,RIV
,,19C117796,07:27:47 12/01/19,l,Patrol Info,4,3071 PINEHURST DR,COR
,,19C117797,07:31:17 12/01/19,f,ZZFall,1,1074 CIRCLE CITY DR,COR
,,19C117798,07:36:08 12/01/19,l,Property Check,4,4225 PRADO RD # 101; RINKS CORONA,COR
,,19C117800,07:42:14 12/01/19,f,ZZFall,1,2489 CALIFORNIA AVE; ESTANCIA DEL SOL,COR
,,19C117801,07:42:48 12/01/19,l,CMC Violation,4,815 W SIXTH ST; CIVIC CENTER,COR
,,19C117802,07:56:43 12/01/19,l,Vehicle Check,4,490 N MCKINLEY ST; HOME DEPOT,COR
,,19C117803,08:04:04 12/01/19,l,911 Hangup,2,1483 ANDALUSIAN DR,NOR
,,19C117804,08:06:50 12/01/19,f,ZZAA Structure,1,1483 ANDALUSIAN DR,NOR
,,19C117805,08:16:57 12/01/19,l,Alarm Call,2,1210 E CHASE DR,COR
,,19C117806,08:23:32 12/01/19,l,911 Hangup,2,1592 FAIRWAY DR,COR
,,19C117807,08:24:02 12/01/19,f,ZZSick,1,3580 SHANNON ST,COR
,,19C117808,08:26:45 12/01/19,l,911 Hangup,2,1630 BERYL LN,COR
,,19C117809,08:33:17 12/01/19,l,Property Check,4,479 N MCKINLEY ST; WALMART,COR
,,19C117810,08:42:10 12/01/19,l,,2,1229 KELLEY AVE,COR
YES,nearly empty row,,,,*redacted*,,,
,,19C117811,08:50:10 12/01/19,l,Traffic Stop,4,W FOOTHILL PKWY & W CHASE DR,COR
,,19C117812,08:51:05 12/01/19,l,Patrol Info,4,1560 W SIXTH ST; WALMART,COR
,,19C117813,08:57:42 12/01/19,l,Comm Policing,4,1395 E FOOTHILL PKWY; SANTIAGO HIGH SCHOOL,COR
,,19C117814,08:57:46 12/01/19,l,Auto Theft Past,3,1268 TRENTON AVE; PHILLIPS FISHING PRODUCTS,COR
,,19C117815,09:05:27 12/01/19,l,Property Check,4,2199 SAMPSON AVE; CARLS JR,COR
,,19C117816,09:14:13 12/01/19,l,Hazard,3,N MAIN ST & E HARRISON ST,COR
,,19C117817,09:15:38 12/01/19,l,Flag Down,4,W FOOTHILL PKWY & ELYSIA ST,COR
,,19C117818,09:24:25 12/01/19,l,Auto Theft Past,3,1560 W SIXTH ST; WALMART,COR
,,19C117819,09:25:08 12/01/19,l,Traffic Stop,4,W FOOTHILL PKWY & ELYSIA ST,COR
,,19C117820,09:33:06 12/01/19,lf,Dist/Verbal,2,3542 SWEETWATER CIR,COR
,,19C117821,09:36:33 12/01/19,f,ZZPublicSrvceF,2,1073 MISTY MEADOW CIR,COR
,,19C117822,09:40:22 12/01/19,lf,Accident Unknwn,1,13120 MAGNOLIA AVE,HGS
,,19C117823,09:47:59 12/01/19,f,ZZBreathing,1,2281 MOUNTAIN VIEW DR,CRA
,,19C117824,09:49:47 12/01/19,l,Property Check,4,1255 RIVER RD; AUBURNDALE INTERMEDIATE,COR
,,19C117825,09:53:23 12/01/19,l,Property Check,4,2615 TUSCANY ST; TARGET,COR
,,19C117826,09:56:42 12/01/19,l,Accident,2,N LINCOLN AVE & RIVER RD,COR
,,19C117828,10:04:01 12/01/19,l,Comm Policing,4,2331 KELLOGG AVE # A; CROSSROADS CHURCH,COR
,,19C117830,10:13:01 12/01/19,l,Property Check,4,2500 CAJALCO RD; CROSSINGS SHOPPING CENTER,COR
,,19C117831,10:14:03 12/01/19,l,Property Check,4,2710 LAKESHORE DR; DOS LAGOS THEATRES AT DOS LAGOS,COR
,,19C117832,10:14:23 12/01/19,l,Veh Burg Past,4,1035 LA TERRAZA CIR # 303; LL CONT,COR
,,19C117833,10:17:29 12/01/19,l,Vehicle Check,4,577 N MCKINLEY ST # 103; ZONE 2,COR
,,19C117834,10:21:49 12/01/19,l,Property Check,4,650 S MAIN ST; CITY LIBRARY,COR
,,19C117835,10:23:41 12/01/19,l,911 Hangup,2,881 CORSICA DR,COR
,,19C117837,10:27:25 12/01/19,l,Ill Parked Veh,4,2803 MORNING STAR DR,COR
,,19C117838,10:28:03 12/01/19,l,Traffic Stop,4,W FOOTHILL PKWY & W CHASE DR,COR
,,19C117839,10:29:41 12/01/19,l,Property Check,4,465 N MCKINLEY ST; ALL STAR CAR WASH,COR
,,19C117840,10:29:59 12/01/19,l,Property Check,4,500 CORONA MALL; CORONA MALL,COR
YES,'Nature' garbled text (embedded symbol),19C117841,10:33:36 12/01/19,f,ZZFaint/Uncons,1,1270 W EIGHTH ST # J,COR
,,19C117842,10:36:48 12/01/19,l,Property Check,4,480 N MCKINLEY ST; COSTCO,COR
,,19C117843,10:39:11 12/01/19,l,Property Check,4,930 E SIXTH ST; CITY PARK,COR
,,19C117845,10:40:25 12/01/19,l,Traffic Stop,4,100 W ONTARIO AVE; WALGREENS 07303 AT TOWN AND COUNTRY,COR
,,19C117846,10:41:09 12/01/19,l,Traffic Stop,4,W FOOTHILL PKWY & HIGHGROVE ST,COR
,,19C117847,10:43:20 12/01/19,l,Auto Theft Past,3,660 W SECOND ST # 1,COR
,,19C117848,10:43:52 12/01/19,l,Fraud Past,4,1265 BLOSSOM HILL DR ; LL CONT,COR
,,19C117849,10:50:28 12/01/19,l,H/R Coll Past,4,705 N MAIN ST # 110; CHUZE FITNESS; LL CONT,COR
,,19C117850,10:56:40 12/01/19,l,Property Check,4,1635 KELLOGG AVE; KELLOGG PARK,COR
,,19C117851,10:59:26 12/01/19,l,Traffic Stop,4,MAGNOLIA AVE & KELLOGG AVE,COR
,,19C117853,11:08:23 12/01/19,l,911 Hangup,2,RIVER RD & CORYDON AVE,NOR
,,19C117854,11:08:54 12/01/19,lf,Man Down,1,3520 GRAND OAKS,COR
,,19C117855,11:10:26 12/01/19,l,Property Check,4,2815 S MAIN,COR
,,19C117857,11:16:21 12/01/19,l,911 Hangup,2,1592 FAIRWAY DR,COR
,,19C117859,11:17:58 12/01/19,lf,Unknown Fire,1,W RINCON ST & N LINCOLN AVE,COR
,,19C117860,11:18:15 12/01/19,l,911 Hangup,2,1592 FAIRWAY DR,COR
,,19C117861,11:19:14 12/01/19,l,911 Hangup,2,1000 W RINCON ST,COR
,,19C117862,11:19:39 12/01/19,l,Traffic Stop,4,1260 E ONTARIO AVE; ALBERTSONS,COR
,,19C117863,11:19:51 12/01/19,l,Reckless Driver,3,1755 SANDTRAP DR,COR
,,19C117867,11:25:28 12/01/19,l,Area Check,3,E ONTARIO AVE & COMPTON AVE,COR
,,19C117869,11:36:56 12/01/19,l,Battery,1,1242 D ST; GEORGINA GODINEZ,COR
,,19C117871,11:44:51 12/01/19,f,ZZChest Pains,1,341 ADIRONDACK DR,COR
,,19C117872,11:50:42 12/01/19,l,Flag Down,4,705 N MAIN ST # 110; CHUZE FITNESS,COR
,,19C117875,12:02:22 12/01/19,l,Disturb Peace,3,1698 W SIXTH ST # A; 7 11 STORE WEST,COR
,,19C117877,12:11:14 12/01/19,l,Veh Burg Past,4,2855 SAMPSON AVE; SOUTHERN CALIFORNIA FLEET SERVICES,COR
,,19C117878,12:12:30 12/01/19,f,ZZChest Pains,1,2600 S MAIN ST; #114 CORONA POST ACUTE,COR
,,19C117880,12:15:07 12/01/19,l,Property Check,4,550 HIDDEN VALLEY PKWY; STATER BROS MARKETS,COR
,,19C117881,12:24:08 12/01/19,l,Area Check,3,212 S VICENTIA AVE # 102,COR
,,19C117882,12:30:58 12/01/19,l,911 Hangup,2,1150 W TENTH ST,COR
,,19C117883,12:33:05 12/01/19,l,Patrol Info,4,S LINCOLN AVE & W ONTARIO AVE,COR
,,19C117884,12:39:06 12/01/19,l,Battery,2,912 BURR ST,COR
,,19C117885,12:40:48 12/01/19,l,Brandish Wpn P,3,1203 W SIXTH ST # 46; FLAMINGO MHP,COR
,,19C117886,12:44:52 12/01/19,l,Ped Check,4,813 N MAIN ST,COR
,,19C117888,12:47:34 12/01/19,f,ZZSeizure,1,1204 MAGNOLIA AVE; MOBIL GAS,COR
,,19C117889,12:49:34 12/01/19,l,Citizen Contact,3,545 EBBCREEK ST # D; LL CONT,COR
,,19C117890,12:51:41 12/01/19,l,911 Hangup,2,130 W CHASE DR; CALVARY CHAPEL,COR
,,19C117891,12:53:05 12/01/19,lf,Man Down,1,W SIXTH ST & AVENIDA DEL VISTA,COR
,,19C117892,12:54:17 12/01/19,l,Auto Theft Rec,4,700 CIRCLE CITY DR,COR
,,19C117893,12:55:52 12/01/19,l,Reckless Driver,3,2055 KELLOGG AVE; KAISER FOUNDATION HEALTH PLAN INC,COR
,,19C117894,12:56:47 12/01/19,l,Hit Run No Inj,2,2331 CALIFORNIA AVE; EL POLLO LOCO,COR
,,19C117895,13:01:30 12/01/19,l,Vandalism Past,4,523 E EIGHTH ST,COR
,,19C117896,13:05:10 12/01/19,f,ZZTrauma,1,4015 BELFRY CIR,COR
,,19C117897,13:15:51 12/01/19,l,Z-Animal Svcs,4,2560 TUSCANY ST,COR
,,19C117898,13:20:16 12/01/19,l,Veh Burg Past,4,4545 TEMESCAL CANYON RD; #104,COR
,,19C117899,13:23:18 12/01/19,l,911 Hangup,2,2280 WARDLOW CIR; D R HORTON AMERICAS BUILDER,COR
