_needs_review,_review_reason,CallID,When Reported,Typ,Nature,P,Location,Cty
,,19C093122,00:17:56 10/01/19,l,Disturb Peace,3,1200 S MERRILL ST; HUSTED PARK,COR
,,19C093123,00:19:10 10/01/19,lf,Man Down,1,629 N MAIN ST,COR
,,19C093124,00:29:58 10/01/19,l,Runaway,3,1824 BAYWOOD DR # 203,COR
,,19C093125,00:42:24 10/01/19,l,Property Check,4,849 W SIXTH ST; OLD PD,COR
,,19C093128,01:23:39 10/01/19,l,Susp Vehicle,3,2331 KELLOGG AVE # A; CROSSROADS CHURCH,COR
,,19C093129,01:35:35 10/01/19,l,911 Hangup,2,881 CORSICA DR,COR
,,19C093130,01:36:17 10/01/19,l,Vehicle Check,4,275 TELLER ST # 100; 24 HOUR FITNESS,COR
,,19C093132,01:49:42 10/01/19,l,Alarm Call,2,240 CITATION CIR ;CITATION CIRCLE PROPERTIES LLC,COR
,,19C093133,02:03:34 10/01/19,l,Property Check,4,1015 MONTECITO DR; RESIDENCE INN,COR
,,19C093134,02:11:49 10/01/19,l,Property Check,4,714 N MAIN ST; D DS DISCOUNTS 5018 AT NORTH MAIN PLAZA,COR
,,19C093135,02:23:24 10/01/19,l,Property Check,4,533 W RINCON ST; A 1 WHOLESALE,COR
,,19C093137,02:35:38 10/01/19,f,ZZSick,1,737 MAGNOLIA AVE # 106,COR
,,19C093138,03:02:37 10/01/19,f,ZZDiabetic,1,341 ADIRONDACK DR,COR
,,19C093139,03:20:30 10/01/19,f,ZZSick,1,1186 BORDER AVE # D,COR
,,19C093140,03:29:19 10/01/19,l,911 Hangup,2,389 N MAIN ST,COR
,,19C093141,03:39:50 10/01/19,l,Area Check,3,479 N MCKINLEY ST; WALMART,COR
,,19C093142,03:41:49 10/01/19,l,Area Check,3,1508 CHEROKEE RD,COR
,,19C093143,03:49:53 10/01/19,f,ZZCommrcal Alrm,1,722 N MAIN ST ; PARKRIDGE MAIN LLC,COR
,,19C093144,03:50:25 10/01/19,l,Property Check,4,1255 RIVER RD; AUBURNDALE INTERMEDIATE,COR
