_needs_review,_review_reason,CallID,When Reported,Typ,Nature,P,Location,Cty
,,19C081259,00:01:57 09/01/19,l,Disturb Peace,3,4901 GREEN RIVER RD # 124; FAMILY,COR
,,19C081260,00:02:17 09/01/19,l,Alarm Call,2,1820 RIMPAU AVE; CENTENNIAL HIGH SCHOOL,COR
,,19C081262,00:03:29 09/01/19,l,Property Check,4,2661 GREEN RIVER RD; UNION BANK INSIDE RALPHS,COR
,,19C081263,00:05:42 09/01/19,l,Susp Person,3,1560 W SIXTH ST ; WALMART,COR
,,19C081264,00:07:53 09/01/19,l,Assist Othr Dpt,3,1686 VIA PACIFICA,COR
,,19C081265,00:12:48 09/01/19,l,911 Hangup,2,2780 GRIFFIN WAY,COR
,,19C081266,00:13:42 09/01/19,l,Loud Party,3,3519 BELVEDERE WAY,COR
,,19C081267,00:23:07 09/01/19,l,911 Hangup,2,3455 ESTELLE STREET,
,,19C081268,00:24:06 09/01/19,l,Traffic Stop,4,BERN DR & AVENIDA DEL VISTA,COR
,,19C081269,00:25:45 09/01/19,l,Domestic Distur,2,2168 PARKSIDE DR # 407,COR
,,19C081270,00:28:15 09/01/19,f,ZZPublicSrvceF,2,4637 TEMESCAL CANYON RD ; #308; ENCANTO APTS,COR
,,19C081272,00:31:04 09/01/19,l,Dist/Physical,1,411 E OLD MILL RD; POSS PHYS HEARD ONLY,COR
,,19C081274,00:32:03 09/01/19,l,Property Check,4,1191 MAGNOLIA AVE; THE UPS STORE 1876 AT TEMESCAL VILLAGE PL,COR
,,19C081276,00:44:54 09/01/19,l,Traffic Stop,4,W SECOND ST & W GRAND BLVD,COR
,,19C081277,00:45:42 09/01/19,f,ZZBreathing,1,1315 CARRIAGE LN,COR
,,19C081278,00:46:25 09/01/19,f,ZZAbdominalPai n,1,911 ANDREA LN # 206,COR
,,19C081279,00:50:36 09/01/19,l,Dist/Physical,1,1360 RIVER RD,COR
,,19C081280,00:51:05 09/01/19,l,Found Property,4,550 HIDDEN VALLEY PKWY; STATER BROS MARKETS,COR
,,19C081281,00:56:25 09/01/19,l,Ped Check,4,N LINCOLN AVE & HARRINGTON ST,COR
,,19C081282,00:56:53 09/01/19,l,Property Check,4,1701 W SIXTH ST,COR
,,19C081283,01:03:52 09/01/19,l,Patrol Info,4,GRAPE AND RAILROAD,
,,19C081285,01:06:51 09/01/19,l,Alarm Call,2,1301 POMONA RD; SUNSET VANS INC,COR
